Gene	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
0610005C13Rik|71661	0	0	0	0	0	0	6	0	0	0	0	0
0610007P14Rik|58520	2066	1948	1604	1690	2470	1814	2204	1333	1845	1368	1335	1643
0610009B22Rik|66050	1211	1014	799	772	1175	881	1196	740	1045	741	707	917
0610009L18Rik|66838	43	51	34	36	71	17	67	26	66	26	32	39
0610009O20Rik|66839	1388	1179	1325	1366	1431	1243	1319	1101	1094	1138	946	1002
0610010B08Rik|100039060	28	7	21	16	28	7	29	14	13	10	9	5
0610010F05Rik|71675	1989	1767	1720	1909	2515	1930	1914	1772	2055	1653	1445	1544
0610010K14Rik|104457	796	793	509	486	745	656	814	477	623	505	437	511
0610011F06Rik|68347	1217	998	901	930	1240	931	1021	751	824	688	671	730
0610012G03Rik|106264	901	1016	779	644	1026	755	880	490	649	561	517	566
0610030E20Rik|68364	2224	2390	3320	3502	2317	3001	2088	2950	3586	3033	2556	2080
0610031J06Rik|56700	3224	2622	2343	2785	2877	2432	2386	2000	2583	2020	1779	1759
0610031O16Rik|68369	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik|74098	1102	1222	1168	911	1591	954	1217	929	1121	714	923	949
0610038B21Rik|70345	12	7	1	2	0	3	2	2	3	5	4	0
0610039K10Rik|68386	17	8	5	3	0	6	7	8	10	11	8	14
0610040B10Rik|67672	63	29	52	43	8	29	62	31	28	31	34	38
0610040F04Rik|75394	17	14	19	28	3	33	38	36	28	23	12	12
0610040J01Rik|76261	264	179	184	205	229	183	164	189	237	211	151	119
0610043K17Rik|68400	15	5	7	11	0	6	7	2	13	10	13	0
1010001N08Rik|68434	0	0	13	2	0	0	0	0	0	0	1	0
1100001G20Rik|66107	7	10	11	0	6	12	10	3	5	6	0	0
1110001J03Rik|66117	614	691	441	354	726	545	693	389	540	413	369	465
1110002L01Rik|100043040	862	774	758	892	993	715	897	700	990	800	693	637
1110004E09Rik|68001	3051	2558	1941	1977	2834	2454	2876	1766	2151	2092	1780	2184
1110004F10Rik|56372	7929	7318	5332	5460	8667	6747	8162	5113	6039	4744	4979	6213
1110006O24Rik|66123	12	9	4	4	0	0	14	7	2	14	16	5
1110007C09Rik|68480	207	161	184	152	171	204	122	156	161	182	156	103
1110008F13Rik|67388	1231	1188	925	916	1464	1045	1262	761	1007	770	776	816
1110008L16Rik|66132	488	348	319	375	417	374	414	323	463	359	338	347
1110008P14Rik|73737	1548	1405	1325	1619	2250	1573	1608	1315	1497	987	1202	1346
1110012L19Rik|68618	840	507	483	705	514	575	619	435	493	488	454	406
1110015O18Rik|100503859	2	0	2	2	0	0	0	2	3	3	0	2
1110017D15Rik|73721	742	490	257	304	479	348	372	249	454	404	289	358
1110019D14Rik|76311	70	64	47	77	115	58	72	36	104	53	85	68
1110020A21Rik|68531	28	26	15	27	69	27	18	24	18	16	4	6
1110025L11Rik|68637	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik|68690	1	0	7	0	0	0	9	5	8	0	5	2
1110028F18Rik|68692	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik|68721	1487	1258	948	1143	1484	1069	1296	802	1153	1043	857	1044
1110032F04Rik|68725	445	387	407	291	569	356	530	314	479	319	383	369
1110034G24Rik|73747	538	415	393	296	530	398	484	325	609	295	221	441
1110036E04Rik|68697	0	0	0	0	0	0	0	0	3	0	0	0
1110037F02Rik|66185	1908	1800	1858	1755	2160	1821	2009	1575	1699	1635	1591	1489
1110038B12Rik|68763	174	199	190	128	250	169	198	114	198	132	121	153
1110038F14Rik|117171	937	975	833	684	1148	832	1242	701	813	596	737	813
1110046J04Rik|68808	57	67	20	54	67	62	56	54	74	60	53	57
1110051M20Rik|228356	5716	6119	4692	4826	7434	5028	6442	4592	5322	4270	4335	4674
1110054M08Rik|68841	90	100	70	65	96	64	103	59	83	61	62	88
1110057K04Rik|68832	2000	2042	1982	2174	2627	2009	2147	1959	2375	1931	1544	1627
1110058L19Rik|68002	1183	1248	736	842	1155	807	1250	824	882	792	676	815
1110059E24Rik|66206	916	902	732	784	927	719	995	724	788	668	717	709
1110059G10Rik|66202	943	957	585	614	961	771	897	538	781	556	584	802
1110065P20Rik|68920	662	743	664	455	685	633	735	527	601	505	396	607
1190002F15Rik|381822	3	3	0	0	0	0	6	0	1	6	0	0
1190002N15Rik|68861	1999	2074	1856	2046	2578	2218	2215	1745	2138	1787	1660	1642
1190003K10Rik|68880	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik|68918	108	136	89	94	67	86	106	70	103	68	64	71
1190007I07Rik|544717	215	262	221	178	172	167	246	141	155	170	159	166
1200014J11Rik|66874	2404	2299	2139	2250	2760	2198	2206	1691	2218	1695	1873	1511
1300002E11Rik|100043489	546	592	691	884	826	603	492	613	874	607	543	486
1300002K09Rik|74152	4	1	0	0	0	4	0	2	22	2	7	0
1300017J02Rik|71775	12	2	0	19	4	0	5	11	11	2	0	10
1500004A13Rik|319830	766	694	722	730	993	754	833	623	844	612	686	600
1500009C09Rik|76505	5330	5438	5402	5385	6048	5251	5215	4870	6287	4341	4356	4713
1500009L16Rik|69784	376	364	391	289	473	371	439	367	363	350	333	321
1500011B03Rik|66236	3503	4006	3741	3906	4770	3624	4023	2932	3673	3013	2806	3066
1500011K16Rik|67885	790	831	684	535	738	810	1101	470	739	628	536	745
1500012F01Rik|68949	712	795	634	606	769	690	670	405	654	576	467	670
1500012K07Rik|68954	9	0	4	7	39	4	15	7	10	3	5	9
1500015A07Rik|68982	231	290	234	263	287	179	245	203	249	189	276	239
1500015L24Rik|68994	7	9	0	0	0	16	14	6	0	16	8	8
1500015O10Rik|78896	7831	3559	3784	5503	5488	4041	3492	2275	4571	4064	2648	2493
1500017E21Rik|668215	180	184	285	185	205	130	174	221	191	162	194	193
1600002D24Rik|69776	0	0	0	0	0	0	0	0	2	0	0	2
1600002H07Rik|72016	273	260	256	179	307	249	314	199	271	213	201	164
1600002K03Rik|69770	104	137	69	96	180	85	123	75	86	92	69	76
1600010M07Rik|69781	3	0	0	0	0	0	5	3	39	5	15	4
1600012H06Rik|67912	852	792	828	1034	943	762	729	809	1025	814	692	620
1600014C10Rik|72244	2388	2393	2336	2449	2614	2368	2536	2211	2533	2160	2105	1850
1600014C23Rik|72240	0	0	6	4	0	3	1	2	4	0	5	2
1600014K23Rik|71996	0	6	0	0	0	4	0	0	0	0	0	0
1600015I10Rik|69761	0	0	0	0	0	0	0	0	0	0	0	0
1600016N20Rik|72000	32	9	4	13	0	27	14	7	8	8	8	1
1600019K03Rik|69768	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik|72012	112	101	108	90	182	82	131	96	106	89	73	90
1600023N17Rik|69788	21	34	21	17	35	20	20	16	22	24	14	23
1600025M17Rik|72030	0	0	0	0	0	0	0	0	0	0	0	0
1600027J07Rik|69794	0	0	0	0	0	0	0	4	0	2	0	0
1600029I14Rik|69797	116	35	67	27	19	15	31	25	26	46	27	33
1600029O15Rik|665268	98	77	58	70	114	62	60	48	100	96	38	47
1700001C02Rik|75434	327	192	107	103	232	125	215	145	164	179	122	113
1700001C19Rik|75462	0	0	0	0	0	6	0	0	2	3	3	0
1700001D01Rik|69279	5	0	0	0	0	0	0	0	0	0	0	0
1700001F09Rik|71826	0	0	0	1	0	0	0	0	0	0	0	0
1700001G11Rik|69303	6	0	5	3	7	5	12	12	4	7	8	7
1700001G17Rik|67503	2	11	8	8	29	1	8	4	10	15	8	9
1700001J03Rik|69282	1	0	3	0	0	2	4	0	3	0	0	0
1700001J11Rik|72224	8	9	3	16	1	3	17	15	20	0	7	5
1700001K19Rik|66323	1	1	0	4	0	0	3	4	0	0	3	0
1700001K23Rik|69319	0	0	0	0	0	0	0	0	0	0	0	0
1700001L05Rik|69291	469	577	477	595	591	533	392	489	663	495	432	403
1700001L19Rik|69315	832	812	576	752	1040	742	923	669	974	704	694	781
1700001O22Rik|73598	70	86	71	103	117	93	101	70	70	78	83	111
1700001P01Rik|72215	11	5	6	1	14	0	0	7	7	1	3	7
1700003C15Rik|69345	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik|69338	548	466	193	380	391	319	326	211	259	242	269	252
1700003E16Rik|71837	1073	974	918	869	1245	808	977	920	1120	701	799	886
1700003E24Rik|100042663	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik|75480	9	5	8	4	0	6	7	1	0	4	0	1
1700003G13Rik|72229	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18Rik|69350	0	0	0	0	0	0	1	0	0	0	0	0
1700003H04Rik|384775	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik|75493	0	0	0	0	0	4	0	0	0	0	0	0
1700003M02Rik|69329	526	257	221	331	480	314	284	201	240	382	232	235
1700003M07Rik|72225	412	570	495	520	746	510	582	452	588	425	463	446
1700003P14Rik|75890	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik|71824	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik|75437	0	0	0	0	0	0	0	0	0	0	0	0
1700006F04Rik|75432	1	0	0	0	0	0	0	0	0	0	0	1
1700006H21Rik|72257	0	0	0	0	0	0	0	0	0	0	0	0
1700007B14Rik|71831	5	0	6	5	0	0	26	1	6	1	0	3
1700007F19Rik|67850	24	32	34	15	8	42	60	11	38	22	27	24
1700007G11Rik|75784	341	205	133	128	220	186	207	163	265	259	170	163
1700007J10Rik|69320	105	86	43	62	106	76	65	65	90	87	62	65
1700007K09Rik|69318	5	16	12	1	30	2	8	13	4	1	11	7
1700007K13Rik|69327	521	393	294	278	428	230	312	220	244	321	196	256
1700007L15Rik|100502742	14	0	10	16	34	1	13	10	0	7	0	12
1700007P06Rik|69308	2	10	9	3	0	17	8	11	23	3	3	12
1700008F21Rik|75453	0	0	0	6	0	0	0	0	0	0	0	0
1700008I05Rik|71841	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik|629159	62	50	31	41	110	42	72	28	47	52	43	30
1700008K24Rik|69311	4	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik|69349	50	43	20	18	29	24	49	28	8	26	24	36
1700008P02Rik|69347	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05Rik|74220	0	1	0	0	0	3	0	6	2	3	0	3
1700009J07Rik|75188	0	1	0	1	0	0	0	0	0	0	0	0
1700009N14Rik|75471	0	0	0	0	0	0	0	0	0	0	0	0
1700009P17Rik|75472	1537	960	652	770	1094	688	856	557	851	877	679	564
1700010B08Rik|75485	0	0	0	0	0	0	0	0	0	0	0	0
1700010D01Rik|76386	0	0	0	0	0	0	0	0	0	0	0	0
1700010I02Rik|75476	7	11	7	10	18	11	10	11	14	11	11	19
1700010I14Rik|66931	175	109	74	96	161	94	136	78	113	102	117	66
1700010J16Rik|69355	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23Rik|75501	43	45	26	14	51	30	31	32	17	18	20	17
1700011A15Rik|66322	0	0	0	0	0	0	0	0	0	0	0	0
1700011B04Rik|100503727	0	0	0	0	0	0	0	0	0	0	0	0
1700011E24Rik|75467	0	1	8	11	0	17	13	2	0	5	6	0
1700011H14Rik|67082	0	0	0	0	0	0	0	0	0	0	0	0
1700011I03Rik|75444	7	2	0	8	0	3	5	8	5	7	0	0
1700011L22Rik|67687	0	0	0	0	0	0	0	0	0	0	0	0
1700011M02Rik|75443	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik|76382	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik|69324	0	0	0	0	0	0	0	1	0	0	0	0
1700012B09Rik|69325	125	93	85	70	80	69	113	57	81	76	59	62
1700012D01Rik|72243	62	75	27	43	25	59	49	60	77	70	52	50
1700012D14Rik|75479	2	3	19	1	15	6	7	3	7	6	2	6
1700012I11Rik|69334	0	0	0	0	0	0	0	0	0	0	0	0
1700012L04Rik|76383	0	0	0	0	0	0	0	0	0	0	0	0
1700012P22Rik|69364	8	3	11	11	11	3	9	12	2	16	7	0
1700013D24Rik|76921	0	0	0	0	0	0	0	1	0	0	0	0
1700013F07Rik|75504	188	169	126	111	189	140	141	98	93	119	120	77
1700013G24Rik|69380	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik|75514	0	0	0	0	0	0	0	2	0	2	0	0
1700015E13Rik|76925	0	0	0	0	0	2	0	0	5	0	0	0
1700015F17Rik|381716	7	2	0	2	0	9	8	0	0	0	0	0
1700015G11Rik|100503036	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik|69428	19	18	0	4	0	20	3	3	5	8	0	3
1700016D06Rik|76413	4	4	15	5	5	1	7	7	10	16	2	1
1700016G22Rik|71867	0	0	0	0	0	0	0	0	0	0	0	0
1700016H13Rik|74218	0	0	0	0	0	0	1	2	0	0	0	0
1700016K19Rik|74230	350	223	190	154	378	180	239	163	188	241	126	118
1700016L04Rik|69412	0	0	3	2	0	5	0	0	0	0	0	0
1700016L21Rik|72208	0	0	0	0	0	0	0	0	0	0	0	0
1700016P04Rik|69413	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik|74211	796	831	852	797	804	621	924	821	883	821	730	581
1700017D01Rik|69369	0	0	0	0	0	0	0	0	0	0	0	0
1700017G19Rik|100040882	0	0	0	0	0	0	5	0	0	4	0	0
1700017J07Rik|75508	0	9	0	0	0	3	6	0	0	3	3	4
1700017N19Rik|66605	0	0	0	0	0	0	0	0	0	0	0	7
1700018A04Rik|71307	13	0	0	6	0	0	0	2	0	5	6	0
1700018B08Rik|76405	0	0	0	0	0	0	0	0	0	0	0	0
1700018B24Rik|66332	4	0	0	4	0	0	1	3	12	0	1	2
1700018C11Rik|75524	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik|69396	0	0	0	0	0	0	0	0	0	0	0	0
1700018G05Rik|69388	0	0	0	0	0	0	0	0	0	0	0	0
1700018L02Rik|67329	27	7	13	8	55	19	21	26	26	22	14	15
1700019A02Rik|69397	0	0	3	4	0	0	0	2	0	1	0	0
1700019B03Rik|76406	12	0	0	0	0	0	8	1	0	4	4	1
1700019B21Rik|75545	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik|67080	41	52	25	46	50	25	42	34	69	49	22	12
1700019E08Rik|69405	0	0	0	0	0	0	0	0	0	0	0	0
1700019G17Rik|75541	784	603	471	594	592	423	485	506	565	505	470	488
1700019G24Rik|72249	70	27	32	22	21	25	49	18	33	42	46	8
