"","pvalgenotypeFMR1WT","padjgenotypeFMR1WT","log2FoldChange","rownames"
"0610007P14Rik",0.552799723133589,0.999781696584314,0.0446162068928321,"0610007P14Rik"
"0610009B22Rik",0.431401572499944,0.989611193172537,-0.0778405035952667,"0610009B22Rik"
"0610009L18Rik",0.44673278769446,0.99684247778883,-0.230146360527051,"0610009L18Rik"
"0610009O20Rik",0.50482663019688,0.999781696584314,0.0599534817184228,"0610009O20Rik"
"0610010B08Rik",0.784745848204915,0.999781696584314,0.235624231198822,"0610010B08Rik"
"0610010F05Rik",0.663721931863564,0.999781696584314,-0.026901202799642,"0610010F05Rik"
"0610010K14Rik",0.722278666566483,0.999781696584314,0.0431817699254963,"0610010K14Rik"
"0610011F06Rik",0.00161125246015625,0.0910324040783546,0.197031904120311,"0610011F06Rik"
"0610012G03Rik",0.00895035816361653,0.243634014130209,0.281133958326684,"0610012G03Rik"
"0610030E20Rik",0.442628541571662,0.99684247778883,-0.145493327669265,"0610030E20Rik"
"0610031J06Rik",0.0215210898189506,0.373742638539334,0.17491180434404,"0610031J06Rik"
"0610037L13Rik",0.749252827102213,0.999781696584314,0.0328535621296492,"0610037L13Rik"
"0610038B21Rik",0.865761437253781,0.999781696584314,0.337337360501987,"0610038B21Rik"
"0610039K10Rik",0.344763819323125,0.962282765072451,-0.791620588777993,"0610039K10Rik"
"0610040B10Rik",0.732096295160606,0.999781696584314,-0.143980915047821,"0610040B10Rik"
"0610040F04Rik",0.342694965974796,0.961540673062524,-0.486229271065515,"0610040F04Rik"
"0610040J01Rik",0.994392358595689,0.999781696584314,0.00112786964880483,"0610040J01Rik"
"0610043K17Rik",0.871411972717188,0.999781696584314,-0.183638859874692,"0610043K17Rik"
"1010001N08Rik",0.197450960831854,0.86731284625679,3.73474946302114,"1010001N08Rik"
"1100001G20Rik",0.514267979133295,0.999781696584314,0.871091357645193,"1100001G20Rik"
"1110001J03Rik",0.858097679899204,0.999781696584314,0.0248360643818366,"1110001J03Rik"
"1110002L01Rik",0.125620075004692,0.771786282366661,-0.123773385198013,"1110002L01Rik"
"1110004E09Rik",0.935646607140847,0.999781696584314,-0.00797367484380017,"1110004E09Rik"
