"ID","Year","Genotype","TrainProtocol","TrainSequence","TrainGroup","Day","TrainSession","ShockOnOff","PairedPartner","Experimenter","Housing","TestLocation","APA","APA2","TrainSessionCombo","pair1","pair2","TrainSessionComboNum","SdevSpeedArena","Linearity.Arena.","NumEntrances","Time1stEntr","Path1stEntr","Speed1stEntr.cm.s.","Dist1stEntr.m.","NumShock","MaxTimeAvoid","Time2ndEntr","Path2ndEntr","Speed2ndEntr","TimeTarget","pTimeTarget","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAvgVal","PolarSdVal","PolarMinVal","PolarMinBin","Min50.RngLoBin","Min50.RngHiBin","PolarMaxVal","PolarMaxBin","Max50.RngLoBin","Max50.RngHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSd","AnnularSkewnes","AnnularKurtosis","Speed1","Speed2"
"16-122A","2016","WT","3-day","train-train","trained","1","Hab","Off","16-122B","Maddy","AnimalRoom","MBL","consistent","consistent","Hab","16-122A_Hab","16-122B_Hab",1,3.21,0.4929,31,2.8,0.07,11.24,1.23,48,75,13.43,0.72,17.5,84.571,0.2102,0.2908,0.2857,0.2133,0.11,110.41,183.15,97.49,0.0115,350,160,20,0.0401,160,40,210,0.0207,15.8,0.2553,13.1,11.04,22.77,1.12,3.76,0.025,0.0536113179448995
"16-122A","2016","WT","3-day","train-train","trained","1","T1","On","16-122B","Maddy","AnimalRoom","MBL","consistent","consistent","T1","16-122A_T1","16-122B_T1",2,2.22,0.2854,11,33.77,0.97,9.49,0.76,12,148,45.93,1.36,3.67,12.599,0.0325,0.5261,0.3559,0.0856,0.56,124.44,212.45,62.16,4e-04,320,150,80,0.0664,130,70,170,3e-04,16.9,0.2052,14.5,12.23,21.2,0.88,3.36,0.0287237192774652,0.0296102765077292
"16-122A","2016","WT","3-day","train-train","trained","1","T2","On","16-122B","Maddy","AnimalRoom","MBL","consistent","consistent","T2","16-122A_T2","16-122B_T2",3,2.13,0.2054,7,19.47,0.23,3.33,0.54,9,194,84.77,1.37,1.1,13.034,0.0347,0.4712,0.3793,0.1148,0.51,131.67,217.94,66.26,8e-04,0,150,80,0.0657,120,70,170,0.0088,16.9,0.3279,14.5,12.77,19.14,1.63,5.97,0.0118130457113508,0.0161613778459361
"16-122A","2016","WT","3-day","train-train","trained","1","T3","On","16-122B","Maddy","AnimalRoom","MBL","consistent","consistent","T3","16-122A_T3","16-122B_T3",4,2.58,0.302,8,52.53,1.35,1.5,0.49,9,129,145.53,3.41,0.56,11.168,0.0275,0.2007,0.5228,0.249,0.48,185.06,235.58,76,0.0014,350,220,150,0.0631,190,140,240,2e-04,16.9,0.256,11.5,11.65,22.6,1.14,4,0.0256996002284409,0.0234315948601663
"16-122A","2016","WT","3-day","train-train","trained","2","Retention","Off","16-122B","Maddy","AnimalRoom","MBL","consistent","consistent","Retention","16-122A_Retention","16-122B_Retention",9,1.63,0.2775,17,72.83,1.23,9.98,1.48,54,72,88.3,1.71,7.7,100.634,0.2511,0.1617,0.3006,0.2866,0.12,245.16,190.84,108.94,0.0125,90,340,200,0.0469,240,140,300,0.0067,15.8,0.2672,9.7,10.5,19.01,0.66,3.26,0.0168886447892352,0.019365798414496
"16-122A","2016","WT","3-day","train-train","trained","2","T4","On","16-122B","Maddy","AnimalRoom","MBL","consistent","consistent","T4_C1","16-122A_T4_C1","16-122B_T4_C1",6,1.96,0.2697,5,31.47,0.43,1.22,0.4,5,233,52.67,0.93,1.71,5.667,0.0151,0.529,0.3922,0.0638,0.57,129.63,220.68,58.84,0,350,140,70,0.0731,120,70,170,0.0019,16.9,0.3043,13.1,12.74,17.01,1.24,5.19,0.0136638068001271,0.0176571103094741
"16-122A","2016","WT","3-day","train-train","trained","2","T5","On","16-122B","Maddy","AnimalRoom","MBL","consistent","consistent","T5_C2","16-122A_T5_C2","16-122B_T5_C2",7,2,0.2821,3,37.3,0.71,1.53,0.23,3,325,52.67,1.07,1.59,3.034,0.0078,0.4303,0.5199,0.042,0.7,142.12,228.36,50.61,0,0,160,110,0.087,130,90,170,0.0105,3.1,0.3448,14.5,13.78,15.22,2.44,13.07,0.0190348525469169,0.0203151699259541
"16-122A","2016","WT","3-day","train-train","trained","2","T6","On","16-122B","Maddy","AnimalRoom","MBL","consistent","consistent","T6_C3","16-122A_T6_C3","16-122B_T6_C3",8,1.93,0.2718,3,188.6,3.41,1.48,0.24,4,304,245.83,4.59,1.59,5.067,0.0126,0.7609,0.203,0.0235,0.76,110.32,202.47,43.93,0,10,120,80,0.1044,100,70,140,0.0013,16.9,0.3035,15.8,13.57,17.57,1.86,7.94,0.0180805938494168,0.0186714396127405
"16-122A","2016","WT","3-day","train-train","trained","3","Retention","Off","16-122B","Maddy","AnimalRoom","MBL","consistent","consistent","Retention","16-122A_Retention","16-122B_Retention",9,1.85,0.3923,6,291.2,5.32,2.57,0.45,18,291,385.83,7.89,7.41,37.101,0.0965,0.286,0.5168,0.1007,0.55,150.85,223.37,67.32,0.0041,330,170,110,0.0864,150,100,190,0.0357,15.8,0.2493,13.1,11.47,21.51,1.1,3.8,0.0182692307692308,0.0204494207293368
"16-123A","2016","WT","3-day","train-train","trained","1","Hab","Off","16-123B","Maddy","AnimalRoom","MBL","consistent","consistent","Hab","16-123A_Hab","16-123B_Hab",1,3.34,0.3716,26,13.03,0.81,7.11,1.1,60,55,26.3,1.8,12.32,110.066,0.2741,0.2616,0.2694,0.1949,0.03,89.54,182.69,100.95,0.0151,90,60,250,0.048,60,260,90,0.0026,16.9,0.2446,13.1,11.38,21.66,0.92,3.45,0.0621642363775902,0.0684410646387833
