"","16-116B","16-117D","16-118B","16-118D","16-119B","16-119D","16-120B","16-120D","16-122B","16-122D","16-123B","16-123D","16-124D","16-125B","16-125D","16-126B"
"0610007P14Rik",38,37,26,41,50,38,31,38,57,70,8,44,39,4,30,47
"0610009B22Rik",20,16,11,23,19,15,17,3,50,31,0,19,25,0,10,22
"0610009L18Rik",5,0,2,10,2,1,3,0,8,6,0,5,3,0,0,18
"0610009O20Rik",40,35,86,28,62,60,93,94,69,89,4,62,40,13,61,92
"0610010F05Rik",63,71,129,79,84,98,101,84,111,119,20,98,98,7,69,76
"0610010K14Rik",28,10,14,15,28,20,26,5,18,33,3,16,32,4,15,40
"0610012G03Rik",27,23,61,53,84,59,70,66,86,91,11,35,92,6,61,106
"0610030E20Rik",39,43,60,26,29,21,48,43,31,52,31,29,29,19,38,22
"0610037L13Rik",58,48,69,68,63,64,97,58,79,96,11,85,54,12,45,85
"0610040J01Rik",0,0,0,0,6,4,1,0,9,3,0,5,4,0,1,3
"1110002E22Rik",4,2,1,12,0,4,2,1,5,5,0,1,3,0,2,2
"1110004E09Rik",36,12,55,35,59,46,66,46,59,62,7,47,36,2,52,85
"1110004F10Rik",115,79,152,179,233,122,196,160,187,215,79,120,201,15,100,214
"1110008F13Rik",49,30,80,85,101,55,73,40,141,140,17,71,74,7,63,132
"1110008L16Rik",8,9,15,14,15,14,9,21,13,11,21,17,17,1,10,18
"1110008P14Rik",46,45,119,90,97,37,72,47,120,128,31,54,95,14,49,96
"1110012L19Rik",4,1,14,16,11,14,7,12,16,8,0,8,3,2,14,11
"1110017D15Rik",0,0,2,0,0,0,4,0,1,6,0,0,0,0,3,1
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",10,11,26,20,26,27,27,21,66,43,0,10,22,4,18,29
"1110032F04Rik",25,26,38,25,30,21,39,24,51,53,0,49,34,3,29,44
"1110034G24Rik",14,3,18,3,16,3,11,5,9,13,1,15,10,2,8,11
"1110037F02Rik",94,75,109,101,108,151,119,99,137,168,43,125,147,15,93,121
"1110038F14Rik",36,15,51,22,39,24,33,26,24,35,11,28,17,2,22,50
"1110051M20Rik",112,77,151,160,157,160,200,161,174,190,46,109,96,16,115,192
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",20,8,10,27,27,24,9,28,17,18,5,18,22,5,7,24
"1110059G10Rik",16,10,9,24,15,8,24,16,37,29,0,10,16,2,21,33
"1110065P20Rik",60,19,48,87,130,44,82,30,115,90,20,84,65,3,24,73
"1190002N15Rik",254,119,224,181,268,284,308,227,231,235,25,235,239,15,139,203
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1190005I06Rik",0,0,0,2,8,5,5,0,0,5,0,4,8,0,15,7
"1190007I07Rik",11,12,10,0,18,2,25,8,10,21,0,6,6,1,11,12
"1300017J02Rik",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1500009C09Rik",62,64,58,96,133,69,66,66,119,115,7,87,95,4,54,97
"1500009L16Rik",8,2,2,5,10,8,12,14,21,26,19,4,19,1,9,30
"1500011B03Rik",83,48,134,108,179,103,116,130,149,198,27,95,118,22,46,193
"1500011K16Rik",32,9,23,25,60,38,23,18,53,48,25,29,14,4,38,51
"1500015O10Rik",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"1520401A03Rik",0,0,0,0,0,1,2,0,6,3,0,0,0,1,0,0
"1600002H07Rik",7,7,26,13,8,12,2,14,7,9,0,4,12,1,8,17
"1600002K03Rik",0,6,0,0,3,1,14,3,6,0,4,2,6,0,3,8
"1600012H06Rik",33,12,68,11,27,41,24,22,32,46,1,16,13,6,29,33
"1600014C10Rik",48,21,37,39,53,32,42,33,52,75,19,69,42,3,50,78
"1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,0,9,6,2,3,0,4,0,2,0,1,3,0,2,2
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",4,10,0,11,6,10,4,6,8,4,0,2,15,0,9,7
"1700001L19Rik",9,10,11,16,12,28,13,25,17,14,0,38,24,0,11,13
"1700001O22Rik",28,14,26,17,37,23,19,23,42,32,4,18,18,3,11,49
"1700001P01Rik",0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"1700003E16Rik",82,30,66,50,84,41,28,34,34,53,0,29,38,5,36,75
"1700003F12Rik",0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,2
"1700007B14Rik",3,0,3,0,0,5,0,0,0,1,0,0,0,0,0,0
"1700007G11Rik",0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0
"1700007K09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",8,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",0,7,7,2,1,1,7,2,16,3,0,1,11,0,5,2
"1700011E24Rik",2,0,0,1,3,3,5,0,3,0,0,0,0,1,1,1
"1700011H14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011I03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012L04Rik",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",0,3,1,0,2,0,0,0,5,0,0,1,0,0,4,1
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700014D04Rik",0,2,0,1,0,0,0,0,3,0,0,0,2,1,0,0
"1700015E13Rik",6,3,1,3,2,1,5,0,2,3,0,8,4,0,0,1
"1700015F17Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"1700016D06Rik",4,3,21,5,5,8,6,13,4,4,4,10,9,1,12,3
"1700016H13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016K19Rik",0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
"1700017B05Rik",47,8,13,36,24,23,19,19,28,19,40,32,24,4,15,29
"1700017D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0
"1700019B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019D03Rik",8,5,5,12,2,9,9,0,0,15,52,4,17,1,4,25
"1700019N19Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020A23Rik",0,1,0,1,1,2,3,0,0,0,0,2,0,1,0,1
"1700020D05Rik",0,1,7,0,2,0,0,2,1,0,0,2,2,0,4,1
"1700020L24Rik",0,5,0,0,0,0,1,0,1,1,0,0,1,2,0,0
"1700020N01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021F05Rik",7,6,23,31,23,8,35,11,35,40,5,13,10,3,22,15
"1700021F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
