Sample Name,Dups,% GC,MillionReads
16_116B_S3_L002_R1_001,0.69,0.48,3.7
16_116B_S3_L002_R2_001,0.57,0.48,3.7
16_116D_S5_L002_R1_001,0.76,0.47,4
16_116D_S5_L002_R2_001,0.63,0.47,4
16_117D_S15_L002_R1_001,0.50,0.47,3.7
16_117D_S15_L002_R2_001,0.40,0.47,3.7
16_118B_S16_L002_R1_001,0.59,0.49,4.4
16_118B_S16_L002_R2_001,0.49,0.49,4.4
16_118D_S17_L002_R1_001,0.61,0.49,3.5
16_118D_S17_L002_R2_001,0.51,0.50,3.5
16_119B_S8_L002_R1_001,0.43,0.49,3.7
16_119B_S8_L002_R2_001,0.36,0.50,3.7
16_119D_S9_L002_R1_001,0.58,0.49,3.8
16_119D_S9_L002_R2_001,0.47,0.49,3.8
16_120B_S10_L002_R1_001,0.62,0.49,4.3
16_120B_S10_L002_R2_001,0.52,0.49,4.3
16_120D_S11_L002_R1_001,0.63,0.48,3.5
16_120D_S11_L002_R2_001,0.52,0.49,3.5
16_122B_S1_L002_R1_001,0.53,0.50,3.8
16_122B_S1_L002_R2_001,0.43,0.50,3.8
16_122D_S2_L002_R1_001,0.48,0.50,4.2
16_122D_S2_L002_R2_001,0.41,0.50,4.2
16_123B_S6_L002_R1_001,0.79,0.45,3.3
16_123B_S6_L002_R2_001,0.65,0.46,3.3
16_123D_S14_L002_R1_001,0.60,0.49,3.9
16_123D_S14_L002_R2_001,0.50,0.49,3.9
16_124D_S7_L002_R1_001,0.54,0.49,4.7
16_124D_S7_L002_R2_001,0.44,0.49,4.7
16_125B_S12_L002_R1_001,0.77,0.44,5.1
16_125B_S12_L002_R2_001,0.64,0.44,5.1
16_125D_S13_L002_R1_001,0.57,0.49,3.4
16_125D_S13_L002_R2_001,0.48,0.49,3.4
16_126B_S4_L002_R1_001,0.46,0.50,3.6
16_126B_S4_L002_R2_001,0.39,0.50,3.6
