Sample Name,FragLength,FractionAligned,MillionAligned,R1,R1_Dups,R1_GC,MillionReads_R1,R2,R2_Dups,R2_GC,MillionReads_R2
16_116B_S3_L002_R1_001,236.5,0.57,2.1,16_116B_S3_L002_R1_001,0.69,0.48,3.7,16_116B_S3_L002_R2_001,0.57,0.48,3.7
16_116D_S5_L002_R1_001,210,0.11,0.4,16_116D_S5_L002_R1_001,0.76,0.47,4,16_116D_S5_L002_R2_001,0.63,0.47,4
16_117D_S15_L002_R1_001,224,0.4,1.5,16_117D_S15_L002_R1_001,0.5,0.47,3.7,16_117D_S15_L002_R2_001,0.4,0.47,3.7
16_118B_S16_L002_R1_001,230.4,0.68,3,16_118B_S16_L002_R1_001,0.59,0.49,4.4,16_118B_S16_L002_R2_001,0.49,0.49,4.4
16_118D_S17_L002_R1_001,229.9,0.65,2.3,16_118D_S17_L002_R1_001,0.61,0.49,3.5,16_118D_S17_L002_R2_001,0.51,0.5,3.5
16_119B_S8_L002_R1_001,237.1,0.77,2.8,16_119B_S8_L002_R1_001,0.43,0.49,3.7,16_119B_S8_L002_R2_001,0.36,0.5,3.7
16_119D_S9_L002_R1_001,229.5,0.7,2.7,16_119D_S9_L002_R1_001,0.58,0.49,3.8,16_119D_S9_L002_R2_001,0.47,0.49,3.8
16_120B_S10_L002_R1_001,224.4,0.68,2.9,16_120B_S10_L002_R1_001,0.62,0.49,4.3,16_120B_S10_L002_R2_001,0.52,0.49,4.3
16_120D_S11_L002_R1_001,223.4,0.64,2.2,16_120D_S11_L002_R1_001,0.63,0.48,3.5,16_120D_S11_L002_R2_001,0.52,0.49,3.5
16_122B_S1_L002_R1_001,231.9,0.74,2.8,16_122B_S1_L002_R1_001,0.53,0.5,3.8,16_122B_S1_L002_R2_001,0.43,0.5,3.8
16_122D_S2_L002_R1_001,236.9,0.77,3.3,16_122D_S2_L002_R1_001,0.48,0.5,4.2,16_122D_S2_L002_R2_001,0.41,0.5,4.2
16_123B_S6_L002_R1_001,227.3,0.27,0.9,16_123B_S6_L002_R1_001,0.79,0.45,3.3,16_123B_S6_L002_R2_001,0.65,0.46,3.3
16_123D_S14_L002_R1_001,231.1,0.68,2.6,16_123D_S14_L002_R1_001,0.6,0.49,3.9,16_123D_S14_L002_R2_001,0.5,0.49,3.9
16_124D_S7_L002_R1_001,236,0.59,2.7,16_124D_S7_L002_R1_001,0.54,0.49,4.7,16_124D_S7_L002_R2_001,0.44,0.49,4.7
16_125B_S12_L002_R1_001,224.9,0.1,0.5,16_125B_S12_L002_R1_001,0.77,0.44,5.1,16_125B_S12_L002_R2_001,0.64,0.44,5.1
16_125D_S13_L002_R1_001,230.4,0.63,2.1,16_125D_S13_L002_R1_001,0.57,0.49,3.4,16_125D_S13_L002_R2_001,0.48,0.49,3.4
16_126B_S4_L002_R1_001,237.1,0.77,2.8,16_126B_S4_L002_R1_001,0.46,0.5,3.6,16_126B_S4_L002_R2_001,0.39,0.5,3.6
