Trimmed,_trim,fracalign_trim,millalign_trim,Raw,_raw,fracalign_raw,millalign_raw
142C_CA1_S_S19_L003_R1_001.filtrim,202.2,0.60,0.00,142C_CA1_S_S19_L003_R1_001,202.9,0.43,5.20
142C_DG_S_S21_L003_R1_001.filtrim,213.2,0.57,0.00,142C_DG_S_S21_L003_R1_001,210,0.26,4.50
143A_CA3_1_S35_L002_R1_001.filtrim,201.1,0.77,0.20,143A_CA3_1_S35_L002_R1_001,201.1,0.60,3.50
143A_DG_1_S36_L002_R1_001.filtrim,199.2,0.81,0.00,143A_DG_1_S36_L002_R1_001,198.9,0.69,5.40
143B_CA1_1_S37_L002_R1_001.filtrim,200.2,0.78,0.00,143B_CA1_1_S37_L002_R1_001,200.6,0.62,1.80
143B_DG_1_S38_L002_R1_001.filtrim,201.2,0.69,0.00,143B_DG_1_S38_L002_R1_001,200,0.57,2.20
143C_CA1_1_S39_L002_R1_001.filtrim,198.5,0.83,0.10,143C_CA1_1_S39_L002_R1_001,198.4,0.66,2.30
143C_CA1_S_S20_L003_R1_001.filtrim,206.8,0.77,0.00,143C_CA1_S_S20_L003_R1_001,208.4,0.70,7.60
143C_DG_S_S22_L003_R1_001.filtrim,220.5,0.56,0.00,143C_DG_S_S22_L003_R1_001,220,0.18,4.10
143D_CA1_3_S40_L002_R1_001.filtrim,195.3,0.59,0.00,143D_CA1_3_S40_L002_R1_001,197,0.37,1.20
143D_DG_3_S41_L002_R1_001.filtrim,194.1,0.69,0.00,143D_DG_3_S41_L002_R1_001,194.1,0.59,1.10
144A_CA1_2_S42_L002_R1_001.filtrim,198.9,0.74,0.00,144A_CA1_2_S42_L002_R1_001,198.9,0.63,3.10
144A_CA3_2_S43_L002_R1_001.filtrim,193,0.45,0.00,144A_CA3_2_S43_L002_R1_001,192,0.26,0.50
144A_DG_2_S44_L002_R1_001.filtrim,196.1,0.73,0.00,144A_DG_2_S44_L002_R1_001,196.5,0.46,3.40
144B_CA1_1_S45_L002_R1_001.filtrim,196.2,0.74,0.00,144B_CA1_1_S45_L002_R1_001,197.1,0.62,2.70
144B_CA3_1_S46_L002_R1_001.filtrim,214.6,0.05,0.00,144B_CA3_1_S46_L002_R1_001,196.4,0.05,1.10
144C_CA1_2_S47_L002_R1_001.filtrim,201.4,0.72,0.00,144C_CA1_2_S47_L002_R1_001,201.3,0.65,3.40
144C_CA3_2_S48_L002_R1_001.filtrim,196.1,0.76,0.00,144C_CA3_2_S48_L002_R1_001,194.8,0.32,1.40
