"ID","Genotype","APA2","TrainSession","SdevSpeedArena","Linearity.Arena.","NumEntrances","Time1stEntr","Path1stEntr","Speed1stEntr.cm.s.","Dist1stEntr.m.","NumShock","MaxTimeAvoid","Time2ndEntr","Path2ndEntr","Speed2ndEntr","TimeTarget","pTimeTarget","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAvgVal","PolarSdVal","PolarMinVal","PolarMinBin","Min50.RngLoBin","Min50.RngHiBin","PolarMaxVal","PolarMaxBin","Max50.RngLoBin","Max50.RngHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSd","AnnularSkewnes","AnnularKurtosis","Speed1","Speed2"
"16-122A","FMR1KO","consistent","Retention",1.63,0.2775,17,72.83,1.23,9.98,1.48,54,72,88.3,1.71,7.7,100.634,0.2511,0.1617,0.3006,0.2866,0.12,245.16,190.84,108.94,0.0125,90,340,200,0.0469,240,140,300,0.0067,15.8,0.2672,9.7,10.5,19.01,0.66,3.26,0.0168886447892352,0.019365798414496
"16-122A","FMR1KO","consistent","Retention",1.85,0.3923,6,291.2,5.32,2.57,0.45,18,291,385.83,7.89,7.41,37.101,0.0965,0.286,0.5168,0.1007,0.55,150.85,223.37,67.32,0.0041,330,170,110,0.0864,150,100,190,0.0357,15.8,0.2493,13.1,11.47,21.51,1.1,3.8,0.0182692307692308,0.0204494207293368
"16-123A","FMR1KO","consistent","Retention",2.82,0.4365,14,21.27,0.49,0.92,0.78,24,110,25.27,0.6,6.36,41.301,0.1026,0.3385,0.2388,0.3201,0.17,203.81,196.6,107.34,0.0043,10,230,90,0.0497,90,60,230,0.0163,3.1,0.3579,14.5,13.08,15.63,1.83,7.58,0.0230371415138693,0.0237435694499406
"16-124A","FMR1KO","consistent","Retention",2.31,0.3714,4,289.83,6.45,7.89,0.27,6,289,461.33,10.99,6.99,10.7,0.0266,0.3658,0.5405,0.0671,0.65,146.65,232.23,54.68,5e-04,300,170,120,0.0837,160,110,190,0.0044,7.5,0.4391,15.8,14.77,8.31,2.26,11.45,0.0222544250077632,0.023822426462619
"16-124B","FMR1KO","consistent","Retention",2.77,0.4735,18,126.2,3.39,4.06,0.98,35,126,133.17,3.58,10.82,61.406,0.1862,0.349,0.3255,0.1393,0.24,130.3,190.93,89.72,0.0085,340,200,90,0.0539,140,60,200,0.0038,16.9,0.3695,14.5,13.75,19.16,2.35,9.25,0.0268621236133122,0.0268829315911992
"16-125A","FMR1KO","consistent","Retention",2.27,0.3357,6,238.63,5.72,5.33,0.4,14,238,300.2,7.19,9.1,27.632,0.0691,0.3451,0.4075,0.1783,0.42,154.97,226,74.74,5e-04,330,190,100,0.0591,160,90,210,0.0388,3.1,0.3553,14.5,12.7,20.86,1.36,4.34,0.0239701630138708,0.0239506995336442
"16-126A","FMR1KO","consistent","Retention",2.03,0.3057,12,3.33,0.15,14,0.77,39,191,66.73,1.26,3,73.571,0.1804,0.2965,0.2381,0.285,0.1,172.41,194.35,102.39,0.0166,30,280,140,0.0395,210,120,300,0.0126,3.1,0.231,11.5,12.88,16.8,0.98,4.93,0.045045045045045,0.018882062041061
"16-126A","FMR1KO","consistent","Retention",2.1,0.3302,8,110.43,2.67,1.56,0.51,16,215,325.47,8.17,4.56,28.432,0.0713,0.482,0.3401,0.1066,0.44,129.51,215.33,70.94,0.0037,300,150,70,0.0592,110,50,160,0.0275,3.1,0.3222,13.1,12.32,16.7,1.45,5.98,0.0241782124422711,0.0251021599532983
"16-357C","FMR1KO","consistent","Retention",2.58,0.3612,3,460.17,12.51,4.45,0.18,4,460,496.17,13.67,4.94,7,0.0176,0.1208,0.6955,0.1661,0.65,181.46,247.92,59.83,9e-04,0,200,150,0.0993,170,130,210,0.0069,3.1,0.5425,15.8,14.73,11.9,3.05,15.52,0.0271856053197731,0.0275510409738598
"16-122B","FMR1KO","yoked-consistent","Retention",1.89,0.3012,20,37.17,0.39,0.68,1.52,74,60,97.9,0.8,1.14,147.395,0.3426,0.1817,0.1943,0.2815,0.19,325.13,157.93,105.65,0.013,140,40,280,0.0515,340,270,60,0.0303,15.8,0.2049,13.1,10.19,25.37,0.38,1.86,0.0104923325262308,0.00817160367722165
