"ID","Genotype","TrainSession","APA2","TrainSessionCombo","TrainSessionComboNum","variable","value"
"16-122A","FMR1KO","Hab","consistent","Hab",1,"pTimeTarget",0.2102
"16-122A","FMR1KO","T1","consistent","T1",2,"pTimeTarget",0.0325
"16-122A","FMR1KO","T2","consistent","T2",3,"pTimeTarget",0.0347
"16-122A","FMR1KO","T3","consistent","T3",4,"pTimeTarget",0.0275
"16-122A","FMR1KO","Retention","consistent","Retention",9,"pTimeTarget",0.2511
"16-122A","FMR1KO","T4","consistent","T4_C1",6,"pTimeTarget",0.0151
"16-122A","FMR1KO","T5","consistent","T5_C2",7,"pTimeTarget",0.0078
"16-122A","FMR1KO","T6","consistent","T6_C3",8,"pTimeTarget",0.0126
"16-122A","FMR1KO","Retention","consistent","Retention",9,"pTimeTarget",0.0965
"16-123A","FMR1KO","Hab","consistent","Hab",1,"pTimeTarget",0.2741
"16-123A","FMR1KO","T1","consistent","T1",2,"pTimeTarget",0.0173
"16-123A","FMR1KO","T2","consistent","T2",3,"pTimeTarget",0.0917
"16-123A","FMR1KO","T3","consistent","T3",4,"pTimeTarget",0.0227
"16-123A","FMR1KO","Retest","consistent","Retest",5,"pTimeTarget",0.0095
"16-123A","FMR1KO","T4","consistent","T4_C1",6,"pTimeTarget",0.013
"16-123A","FMR1KO","T5","consistent","T5_C2",7,"pTimeTarget",0.0137
"16-123A","FMR1KO","Retention","consistent","Retention",9,"pTimeTarget",0.1026
"16-124A","FMR1KO","Hab","consistent","Hab",1,"pTimeTarget",0.3084
"16-124A","FMR1KO","T1","consistent","T1",2,"pTimeTarget",0.0432
"16-124A","FMR1KO","T2","consistent","T2",3,"pTimeTarget",0.0205
"16-124A","FMR1KO","T3","consistent","T3",4,"pTimeTarget",0.0054
"16-124A","FMR1KO","Retest","consistent","Retest",5,"pTimeTarget",0.0026
"16-124A","FMR1KO","T4","consistent","T4_C1",6,"pTimeTarget",0.0092
"16-124A","FMR1KO","T5","consistent","T5_C2",7,"pTimeTarget",0.0014
"16-124A","FMR1KO","T6","consistent","T6_C3",8,"pTimeTarget",0.0045
"16-124A","FMR1KO","Retention","consistent","Retention",9,"pTimeTarget",0.0266
"16-124B","FMR1KO","Hab","consistent","Hab",1,"pTimeTarget",0.2584
"16-124B","FMR1KO","T1","consistent","T1",2,"pTimeTarget",0.0434
"16-124B","FMR1KO","T2","consistent","T2",3,"pTimeTarget",0.023
"16-124B","FMR1KO","T3","consistent","T3",4,"pTimeTarget",0.0078
"16-124B","FMR1KO","Retest","consistent","Retest",5,"pTimeTarget",0.0404
"16-124B","FMR1KO","T4","consistent","T4_C1",6,"pTimeTarget",0.0438
"16-124B","FMR1KO","T5","consistent","T5_C2",7,"pTimeTarget",0.0376
"16-124B","FMR1KO","T6","consistent","T6_C3",8,"pTimeTarget",0.0397
"16-124B","FMR1KO","Retention","consistent","Retention",9,"pTimeTarget",0.1862
"16-125A","FMR1KO","Hab","consistent","Hab",1,"pTimeTarget",0.2303
"16-125A","FMR1KO","T1","consistent","T1",2,"pTimeTarget",0.1877
"16-125A","FMR1KO","T2","consistent","T2",3,"pTimeTarget",0.0259
"16-125A","FMR1KO","T3","consistent","T3",4,"pTimeTarget",0.0686
"16-125A","FMR1KO","Retest","consistent","Retest",5,"pTimeTarget",0.0461
"16-125A","FMR1KO","T4","consistent","T4_C1",6,"pTimeTarget",0.0899
"16-125A","FMR1KO","T6","consistent","T6_C3",8,"pTimeTarget",0.0038
"16-125A","FMR1KO","Retention","consistent","Retention",9,"pTimeTarget",0.0691
"16-126A","FMR1KO","Hab","consistent","Hab",1,"pTimeTarget",0.2868
"16-126A","FMR1KO","T1","consistent","T1",2,"pTimeTarget",0.024
"16-126A","FMR1KO","T2","consistent","T2",3,"pTimeTarget",0.0348
"16-126A","FMR1KO","T3","consistent","T3",4,"pTimeTarget",0.1
"16-126A","FMR1KO","Retention","consistent","Retention",9,"pTimeTarget",0.1804
"16-126A","FMR1KO","T4","consistent","T4_C1",6,"pTimeTarget",0.0272
"16-126A","FMR1KO","T5","consistent","T5_C2",7,"pTimeTarget",0.0668
"16-126A","FMR1KO","T6","consistent","T6_C3",8,"pTimeTarget",0.0282
"16-126A","FMR1KO","Retention","consistent","Retention",9,"pTimeTarget",0.0713
"16-357C","FMR1KO","Hab","consistent","Hab",1,"pTimeTarget",0.2228
"16-357C","FMR1KO","T1","consistent","T1",2,"pTimeTarget",0.0169
"16-357C","FMR1KO","T2","consistent","T2",3,"pTimeTarget",0.0099
"16-357C","FMR1KO","T3","consistent","T3",4,"pTimeTarget",0.0041
"16-357C","FMR1KO","Retest","consistent","Retest",5,"pTimeTarget",0.008
"16-357C","FMR1KO","T4","consistent","T4_C1",6,"pTimeTarget",0.0225
"16-357C","FMR1KO","T5","consistent","T5_C2",7,"pTimeTarget",0.0058
"16-357C","FMR1KO","T6","consistent","T6_C3",8,"pTimeTarget",0
"16-357C","FMR1KO","Retention","consistent","Retention",9,"pTimeTarget",0.0176
"16-122B","FMR1KO","Hab","yoked-consistent","Hab",1,"pTimeTarget",0.2363
"16-122B","FMR1KO","T1","yoked-consistent","T1",2,"pTimeTarget",0.2286
"16-122B","FMR1KO","T2","yoked-consistent","T2",3,"pTimeTarget",0.2655
"16-122B","FMR1KO","T3","yoked-consistent","T3",4,"pTimeTarget",0.4193
"16-122B","FMR1KO","Retention","yoked-consistent","Retention",9,"pTimeTarget",0.3426
"16-122B","FMR1KO","T4","yoked-consistent","T4_C1",6,"pTimeTarget",0.2648
"16-122B","FMR1KO","T5","yoked-consistent","T5_C2",7,"pTimeTarget",0.3166
