"gene","logP"
"0610005C13Rik",NA
"0610007P14Rik",-0.000218327247344918
"0610009B22Rik",-0.0104431471629172
"0610009L18Rik",-0.00316251770278226
"0610009O20Rik",-0.000218327247344918
"0610010B08Rik",-0.000218327247344918
"0610010F05Rik",-0.000218327247344918
"0610010K14Rik",-0.000218327247344918
"0610011F06Rik",-2.39653974707672
"0610012G03Rik",-1.41208812181752
"0610030E20Rik",-0.00316251770278226
"0610031J06Rik",-0.984187850687043
"0610037L13Rik",-0.000218327247344918
"0610038B21Rik",-0.000218327247344918
"0610039K10Rik",-0.0384469369199906
"0610040B10Rik",-0.000218327247344918
"0610040F04Rik",-0.0392184131709018
"0610040J01Rik",-0.000218327247344918
"0610043K17Rik",-0.000218327247344918
"1010001N08Rik",-0.142355529621425
"1100001G20Rik",-0.000218327247344918
"1110001J03Rik",-0.000218327247344918
"1110002L01Rik",-0.259047603596222
"1110004E09Rik",-0.000218327247344918
"1110004F10Rik",-0.000218327247344918
"1110006O24Rik",-0.0174552223625214
"1110007C09Rik",-0.000218327247344918
"1110008F13Rik",-0.247804163962296
"1110008L16Rik",-0.377115372679329
"1110008P14Rik",-0.0105216020635795
"1110012L19Rik",-0.0212104803696721
"1110015O18Rik",-0.000218327247344918
"1110017D15Rik",-0.000218327247344918
"1110019D14Rik",-0.0149184123900313
"1110020A21Rik",-0.763251635673109
"1110028F11Rik",-0.0454717138083489
"1110032A03Rik",-0.000218327247344918
"1110032F04Rik",-0.235903162961457
"1110034G24Rik",-0.000218327247344918
"1110036E04Rik",NA
"1110037F02Rik",-0.000218327247344918
"1110038B12Rik",-0.000218327247344918
"1110038F14Rik",-0.000218327247344918
"1110046J04Rik",-0.205124910798628
"1110051M20Rik",-0.000218327247344918
"1110054M08Rik",-0.00316251770278226
"1110057K04Rik",-0.00316251770278226
"1110058L19Rik",-0.000218327247344918
"1110059E24Rik",-0.142355529621425
"1110059G10Rik",-0.000218327247344918
"1110065P20Rik",-0.000218327247344918
"1190002F15Rik",-0.000218327247344918
"1190002N15Rik",-0.000218327247344918
"1190005I06Rik",-0.000218327247344918
"1190007I07Rik",-0.000218327247344918
"1200014J11Rik",-0.600782212462498
"1300002E11Rik",-0.000218327247344918
"1300002K09Rik",-0.067861963227861
"1300017J02Rik",-0.000218327247344918
"1500004A13Rik",-0.000218327247344918
"1500009C09Rik",-0.00316251770278226
"1500009L16Rik",-0.26127445724413
"1500011B03Rik",-0.0603751397597627
"1500011K16Rik",-0.0140191869407658
"1500012F01Rik",-0.000218327247344918
"1500012K07Rik",-0.000218327247344918
"1500015A07Rik",-0.000218327247344918
"1500015L24Rik",-0.000218327247344918
"1500015O10Rik",-1.08273856349459
"1500017E21Rik",-0.014691231910602
"1600002D24Rik",-0.958606321988819
"1600002H07Rik",-0.000218327247344918
"1600002K03Rik",-0.000218327247344918
"1600010M07Rik",-0.866151557561601
"1600012H06Rik",-0.000218327247344918
"1600014C10Rik",-0.0795799445442722
"1600014C23Rik",-0.000218327247344918
"1600014K23Rik",-24.0312502884433
"1600016N20Rik",-0.014691231910602
"1600020E01Rik",-0.000218327247344918
"1600023N17Rik",-0.000218327247344918
"1600027J07Rik",-0.0277436628906467
"1600029I14Rik",-0.00316251770278226
"1600029O15Rik",-0.000218327247344918
"1700001C02Rik",-0.000218327247344918
"1700001C19Rik",-0.000218327247344918
"1700001D01Rik",-0.000218327247344918
"1700001F09Rik",NA
"1700001G11Rik",-0.238317781191823
"1700001G17Rik",-0.000218327247344918
"1700001J03Rik",-0.000218327247344918
"1700001J11Rik",-0.0174552223625214
"1700001K19Rik",-0.000218327247344918
"1700001L05Rik",-0.000218327247344918
"1700001L19Rik",-1.90883445920797
"1700001O22Rik",-0.0156564706809276
"1700001P01Rik",-0.000218327247344918
"1700003D09Rik",-0.52283630418556
"1700003E16Rik",-0.0906388316211457
"1700003F12Rik",-0.0273496043489527
"1700003G18Rik",NA
"1700003L19Rik",-0.000218327247344918
"1700003M02Rik",-0.031344615855809
"1700003M07Rik",-0.00246366903077
"1700007B14Rik",-0.000218327247344918
"1700007F19Rik",-0.000218327247344918
"1700007G11Rik",-0.111471189741804
"1700007J10Rik",-0.000218327247344918
"1700007K09Rik",-0.000218327247344918
"1700007K13Rik",-0.165458430715026
"1700007L15Rik",-0.000218327247344918
"1700007P06Rik",-0.000218327247344918
"1700008F21Rik",NA
"1700008J07Rik",-0.000218327247344918
"1700008K24Rik",-0.000218327247344918
"1700008O03Rik",-0.000218327247344918
"1700009C05Rik",-0.0108181714907534
"1700009P17Rik",-0.0283591827965746
