"gene","logP"
"0610007P14Rik",-0.0243844646432107
"0610009B22Rik",-0.349117683235537
"0610009L18Rik",-0.744213089226225
"0610009O20Rik",-0.303697357050753
"0610010F05Rik",-1.19986777104831
"0610010K14Rik",-0.644916961491312
"0610012G03Rik",-0.981709493064167
"0610030E20Rik",-0.59228817672602
"0610037L13Rik",-0.401024460528181
"0610040J01Rik",-1.25095053168588
"1110002E22Rik",-0.698922523872414
"1110004E09Rik",-0.187524432833721
"1110004F10Rik",-0.13561486440783
"1110008F13Rik",-2.50006539072828
"1110008L16Rik",-1.02558755923539
"1110008P14Rik",-1.23622096993798
"1110012L19Rik",-0.322017013469473
"1110017D15Rik",-0.609313275302987
"1110032A03Rik",-0.569849014329683
"1110032F04Rik",-0.654145569223305
"1110034G24Rik",-0.11934769631931
"1110037F02Rik",-0.858121259171433
"1110038F14Rik",-0.967067923561918
"1110051M20Rik",-1.79467501818598
"1110059E24Rik",-0.628628409209354
"1110059G10Rik",-0.622848450653209
"1110065P20Rik",-0.0388327990833303
"1190002N15Rik",-5.38925175481161
"1190005I06Rik",-1.25512299386835
"1190007I07Rik",-0.634539548505456
"1300017J02Rik",-0.193325955739703
"1500009C09Rik",-0.563054996750032
"1500009L16Rik",-4.84270424205989
"1500011B03Rik",-0.126525607927517
"1500011K16Rik",-1.6889585696652
"1500015O10Rik",-0.274733538742858
"1520401A03Rik",-1.12535382367598
"1600002H07Rik",-1.27099689134774
"1600002K03Rik",-0.302993830781271
"1600012H06Rik",-0.83390852440071
"1600014C10Rik",-3.10133624087128
"1700001C19Rik",-1.10664554672626
"1700001K19Rik",-0.378911371204558
"1700001L19Rik",-0.238694702857377
"1700001O22Rik",-0.098287458434442
"1700001P01Rik",-0.534243913076614
"1700003E16Rik",-2.64417690159204
"1700003F12Rik",-1.36288482659626
"1700006E09Rik",-0.33906897267246
"1700007B14Rik",-1.05452882654496
"1700007G11Rik",-0.0221779048422781
"1700008O03Rik",-0.954383646488349
"1700010I14Rik",-0.427240023580302
"1700011E24Rik",-0.61748552421589
"1700011M02Rik",-0.305519040870924
"1700012L04Rik",-0.274733538742858
"1700013F07Rik",-0.474672005867372
"1700014D04Rik",-0.712046028044911
"1700015E13Rik",-0.269050591571265
"1700016C15Rik",-0.559520673893852
"1700016D06Rik",-0.265647559045536
"1700016K19Rik",-0.20902590012913
"1700017B05Rik",-1.29155751389395
"1700019A02Rik",-0.297426158594425
"1700019D03Rik",-3.65281699246158
"1700020A23Rik",-0.316184126110926
"1700020D05Rik",-0.00855324675911865
"1700020L24Rik",-0.0879832307823284
"1700021F05Rik",-0.312212612972281
"1700022I11Rik",-0.785346929663167
"1700023F06Rik",-0.493041161116826
"1700024P16Rik",-0.543376998995084
"1700025G04Rik",-0.193990888817335
"1700028J19Rik",-0.0875271016394766
"1700028K03Rik",-0.162128364033398
"1700028P14Rik",-0.229382045598488
"1700029F12Rik",-0.451143538949447
"1700029I15Rik",-0.809717962792385
"1700029J07Rik",-0.444216558870384
"1700030J22Rik",-1.45333434042165
"1700030K09Rik",-0.283431811471376
"1700034I23Rik",-0.368259972904291
"1700034J05Rik",-0.736696786558046
"1700037C18Rik",-1.6731602667658
"1700037H04Rik",-0.342605320092212
"1700040L02Rik",-1.03029029149452
"1700047I17Rik2",-0.0138336257315158
"1700048O20Rik",-0.0430906805521354
"1700057G04Rik",-0.323673134292856
"1700061G19Rik",-0.168014077946348
"1700066B19Rik",-0.427081125908025
"1700066M21Rik",-2.28551792227858
