"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-521 0.27123026434377 5 30 "GO:0000118" "histone deacetylase complex" 0.574937938981131
800 0.0199808422588337 4 57 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.121614146200677
226 0.605329446496353 4 35 "GO:0000139" "Golgi membrane" 0.858205167651756
289 0.521917524764865 4 33 "GO:0000152" "nuclear ubiquitin ligase complex" 0.798728922245296
216 0.825204543661081 4 7 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.951040408259293
344 0.631743905480343 4 13 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.871555951755581
319 0.601657228256316 2 18 "GO:0000178" "exosome (RNase complex)" 0.85484920717546
649 0.117751294108134 2 39 "GO:0000228" "nuclear chromosome" 0.372388814387465
321 0.694645892529955 3 10 "GO:0000242" "pericentriolar material" 0.909986119214241
-1301 0.0160183425780118 2 23 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.108165096789667
-1003 0.386150992535711 4 5 "GO:0000346" "transcription export complex" 0.689179564334852
-278 0.792787799390391 5 6 "GO:0000347;GO:0000445" "THO complex part of transcription export complex" 0.94194738822744
1875 0.00502710578918318 4 15 "GO:0000407" "pre-autophagosomal structure" 0.0506577583371536
727 0.35184144613259 2 11 "GO:0000421" "autophagic vacuole membrane" 0.660332800048271
-343 0.745740646113026 4 6 "GO:0000439" "core TFIIH complex" 0.929114236414087
288 0.627583732438288 2 19 "GO:0000502" "proteasome complex" 0.871147606845219
214 0.50004505477282 2 67 "GO:0000775" "chromosome, centromeric region" 0.77983216875285
713 0.01012903986554 4 88 "GO:0000776" "kinetochore" 0.080908794047911
187 0.818942298050245 2 10 "GO:0000777" "condensed chromosome kinetochore" 0.949393283580373
1538 0.183783414177134 3 5 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.478358485682165
418 0.560345917360141 5 13 "GO:0000779" "condensed chromosome, centromeric region" 0.837133115774753
761 0.378051568289522 2 9 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.684043583507284
440 0.102875681380232 2 93 "GO:0000781;GO:0000784" "chromosome, telomeric region" 0.338610911075638
1684 0.110973076613544 5 6 "GO:0000783;GO:0000782;GO:0070187" "nuclear telomere cap complex" 0.358065838334341
331 0.0484033319952948 4 245 "GO:0000785" "chromatin" 0.220167933728598
461 0.505432004343796 3 14 "GO:0000786;GO:1990104" "DNA bending complex" 0.783366615480255
624 0.46976854810723 5 9 "GO:0000788" "nuclear nucleosome" 0.760861540103728
355 0.0852398424509352 2 160 "GO:0000790" "nuclear chromatin" 0.302421606778958
614 0.0494925513540792 2 69 "GO:0000792" "heterochromatin" 0.220528034945047
428 0.296728165587861 2 40 "GO:0000793" "condensed chromosome" 0.603719461948337
490 0.364406811059073 2 23 "GO:0000794" "condensed nuclear chromosome" 0.670431143275561
170 0.843784841200869 5 9 "GO:0000795" "synaptonemal complex" 0.954425000224291
403 0.702724162903002 2 6 "GO:0000796" "condensin complex" 0.91507818429715
1003 0.198981824806209 2 11 "GO:0000800" "lateral element" 0.499360518191827
1023 0.063915700632524 4 22 "GO:0000803" "sex chromosome" 0.256839165118425
280 0.774451240124902 2 7 "GO:0000805" "X chromosome" 0.941524424970712
-6 0.995843326080477 2 6 "GO:0000812" "Swr1 complex" 0.998893382209361
1145 0.00421853019265197 2 42 "GO:0000922" "spindle pole" 0.0446390999245925
338 0.770231564040224 2 5 "GO:0000923" "equatorial microtubule organizing center" 0.941524424970712
108 0.876096329749885 3 14 "GO:0000930" "gamma-tubulin complex" 0.958667982925758
45 0.913486642072083 4 40 "GO:0000932" "cytoplasmic mRNA processing body" 0.974484935760935
218 0.836838781676451 2 6 "GO:0000940" "condensed chromosome outer kinetochore" 0.951040408259293
1469 0.0598611493966591 3 11 "GO:0000974" "Prp19 complex" 0.251637861299165
1827 0.0837721627480194 2 6 "GO:0001650" "fibrillar center" 0.302421606778958
2227 0.0543469206693091 2 5 "GO:0001651" "dense fibrillar component" 0.236944918560768
173 0.759459535030127 5 21 "GO:0001669" "acrosomal vesicle" 0.936080974393458
-157 0.690920835839958 5 43 "GO:0001725;GO:0032432;GO:0042641" "actomyosin" 0.906920135220787
249 0.569091936575013 3 35 "GO:0001726" "ruffle" 0.839538780307733
222 0.848053969664943 3 5 "GO:0001739" "sex chromatin" 0.954425000224291
1429 0.216848730744317 3 5 "GO:0001740" "Barr body" 0.526058957916769
1361 0.0492503336597894 2 14 "GO:0001741" "XY body" 0.220528034945047
-547 0.301205803463033 4 24 "GO:0001750" "photoreceptor outer segment" 0.608919139716934
-1515 0.0234324033748846 2 15 "GO:0001772" "immunological synapse" 0.135824993013712
491 0.548507532764967 2 10 "GO:0001891" "phagocytic cup" 0.827816668113026
302 0.601592404753343 3 20 "GO:0001917" "photoreceptor inner segment" 0.85484920717546
580 0.583015240676661 2 6 "GO:0001931" "uropod" 0.8441700120366
242 0.818755983231808 3 6 "GO:0001939;GO:0001940" "female pronucleus" 0.949393283580373
468 0.632261830673179 5 7 "GO:0002080" "acrosomal membrane" 0.871555951755581
1067 0.0653620993510148 3 20 "GO:0002102" "podosome" 0.259467727726756
51 0.961596921913011 2 6 "GO:0002178;GO:0017059;GO:0031211" "palmitoyltransferase complex" 0.985169827681522
-735 1.64853758940654e-13 1 733 "GO:0005576" "extracellular region" 2.69948030265321e-11
-1007 2.00809256565877e-08 2 213 "GO:0005578" "proteinaceous extracellular matrix" 2.63060126101299e-06
-816 0.0176583457545102 3 57 "GO:0005581" "collagen trimer" 0.11347597175668
-1403 0.0722664007723384 2 11 "GO:0005583" "fibrillar collagen trimer" 0.283440074885519
-505 0.662436507199626 4 5 "GO:0005587;GO:0098642" "collagen type IV trimer" 0.883698395551436
-646 0.00959443588289589 2 109 "GO:0005604;GO:0044420" "extracellular matrix part" 0.0785544437912101
-1404 0.0214253786188929 2 18 "GO:0005605" "basal lamina" 0.125518535320002
-432 0.518461309416775 3 15 "GO:0005614" "interstitial matrix" 0.79529779313346
-734 1.18204443693792e-13 2 745 "GO:0005615" "extracellular space" 2.58079702064779e-11
125 0.252891289967605 2 605 "GO:0005622" "intracellular" 0.558311527721337
558 0.0489479826454793 1 84 "GO:0005623" "cell" 0.220528034945047
39 0.939273816770592 2 25 "GO:0005637" "nuclear inner membrane" 0.985169827681522
-164 0.887238521326396 2 5 "GO:0005638" "lamin filament" 0.964243280376778
-889 0.254862819524702 4 11 "GO:0005639;GO:0044453" "nuclear membrane part" 0.558311527721337
134 0.869860267593383 2 10 "GO:0005640" "nuclear outer membrane" 0.958667982925758
-1352 0.0704937952532146 2 12 "GO:0005641" "nuclear envelope lumen" 0.278153228258166
681 0.556508892871958 2 5 "GO:0005642" "annulate lamellae" 0.836039735851221
978 0.00151536105627634 4 71 "GO:0005643;GO:0046930" "pore complex" 0.0230828253921163
462 0.592102002607328 2 9 "GO:0005652" "nuclear lamina" 0.846851618889846
856 0.381443980802152 3 7 "GO:0005655;GO:0030681;GO:0030677" "multimeric ribonuclease P complex" 0.686389580839037
1118 0.0383988427474152 2 23 "GO:0005657" "replication fork" 0.183585708025963
385 0.739679872534097 3 5 "GO:0005658" "alpha DNA polymerase:primase complex" 0.929114236414087
-190 0.776218609899518 2 15 "GO:0005662" "DNA replication factor A complex" 0.941524424970712
-10 0.993101336685226 2 5 "GO:0005663" "DNA replication factor C complex" 0.998881033475275
-528 0.589544149749215 4 7 "GO:0005664;GO:0000808" "origin recognition complex" 0.846851618889846
1932 0.00283330266589867 2 16 "GO:0005665" "DNA-directed RNA polymerase II, core complex" 0.0344212927564752
1207 0.0546239430575205 2 17 "GO:0005666" "DNA-directed RNA polymerase III complex" 0.236944918560768
508 0.00190490189518075 2 257 "GO:0005667" "transcription factor complex" 0.0265470370498594
1010 0.0275209453585686 2 32 "GO:0005669" "transcription factor TFIID complex" 0.148977018263326
1053 0.142666887400496 2 13 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.408382093276074
-198 0.791235655822678 5 12 "GO:0005675" "holo TFIIH complex" 0.94194738822744
1232 0.178038483737069 4 8 "GO:0005677" "chromatin silencing complex" 0.470222608257178
-2 0.99790342898672 2 17 "GO:0005680" "anaphase-promoting complex" 0.999429275208412
