"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-382 0.488708420804123 5 30 "GO:0000118" "histone deacetylase complex" 0.907183160558945
-219 0.566308584918592 4 63 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.925992118171015
-613 0.218139294702587 2 37 "GO:0000139" "Golgi membrane" 0.716604143841722
-7 0.989088414882546 3 36 "GO:0000152" "nuclear ubiquitin ligase complex" 0.999077477317727
2161 0.0584983202747984 2 7 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.469346988251289
771 0.357579556604118 3 13 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.83651340645271
916 0.198559830285129 2 18 "GO:0000178" "exosome (RNase complex)" 0.716604143841722
828 0.0730314499579986 2 43 "GO:0000228" "nuclear chromosome" 0.50391700471019
1245 0.192723051903069 4 10 "GO:0000242" "pericentriolar material" 0.716604143841722
-616 0.308383251013127 2 25 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.795678712343817
-1466 0.278224283370841 2 5 "GO:0000346" "transcription export complex" 0.777225730874009
-864 0.483983675921815 5 6 "GO:0000347;GO:0000445" "THO complex part of transcription export complex" 0.902564152394736
1112 0.154460424390435 2 15 "GO:0000407" "pre-autophagosomal structure" 0.683726309446001
-374 0.681470067083512 2 11 "GO:0000421" "autophagic vacuole membrane" 0.946105324522381
1333 0.280095002216051 4 6 "GO:0000439" "core TFIIH complex" 0.779296578746271
716 0.302184487205782 2 19 "GO:0000502" "proteasome complex" 0.795678712343817
4 0.989778965170849 2 75 "GO:0000775" "chromosome, centromeric region" 0.999077477317727
234 0.432298070968846 2 104 "GO:0000776" "kinetochore" 0.886638044240607
378 0.639832221023097 5 14 "GO:0000777" "condensed chromosome kinetochore" 0.945640562183878
822 0.471655844343134 2 7 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.901302229622561
-201 0.803880465569111 5 14 "GO:0000779" "condensed chromosome, centromeric region" 0.973441344173128
152 0.873747217408114 4 10 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.989650105552507
-126 0.664909906637604 4 109 "GO:0000781;GO:0000784" "chromosome, telomeric region" 0.945640562183878
75 0.94771878891328 4 7 "GO:0000783;GO:0000782;GO:0070187" "telomere cap complex" 0.996630587450211
-84 0.657888870434593 4 258 "GO:0000785" "chromatin" 0.945640562183878
159 0.766510140131202 2 32 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.968044951528098
34 0.959350348434618 4 21 "GO:0000788" "nuclear nucleosome" 0.996630587450211
-229 0.328136543171683 2 169 "GO:0000790" "nuclear chromatin" 0.812315853941979
-213 0.559562227912804 2 69 "GO:0000792" "heterochromatin" 0.925992118171015
229 0.620177147420442 3 43 "GO:0000793" "condensed chromosome" 0.938750003989324
708 0.232699820119097 5 26 "GO:0000794" "condensed nuclear chromosome" 0.720012896332632
579 0.473802500911687 2 14 "GO:0000795" "synaptonemal complex" 0.901302229622561
