"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-526 0.568306194434053 2 10 "GO:0000030" "mannosyltransferase activity" 0.899286198511101
-1503 0.172570178185033 2 7 "GO:0000182" "rDNA binding" 0.671680210972453
-164 0.822534212725472 5 16 "GO:0000217;GO:0000400" "DNA secondary structure binding" 0.977072465381025
-19 0.944691336121095 2 116 "GO:0000287" "magnesium ion binding" 0.988745526649946
425 0.744237505510096 2 5 "GO:0000339" "RNA cap binding" 0.971191115310037
-464 0.722224652618979 6 5 "GO:0000832;GO:0000828;GO:0052723" "inositol hexakisphosphate 5-kinase activity" 0.971191115310037
-974 0.413048101657303 4 6 "GO:0000900" "translation repressor activity, nucleic acid binding" 0.828200013679584
-475 0.00199995025390311 2 374 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.156531083911099
-381 0.0705822927495081 2 195 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.546524568399714
-747 0.0627925647907047 2 53 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.535271692390763
-443 0.252743636994065 2 57 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.727610553909217
-91 0.510686618997201 2 470 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.880313382460646
-51 0.76621470948784 3 293 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.97133441176134
-124 0.86451501690271 3 16 "GO:0000983" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity" 0.978349254003367
-308 0.0407412746890334 2 391 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.467140246677169
685 0.599143284781696 2 5 "GO:0000990" "core RNA polymerase binding transcription factor activity" 0.921588300655028
-417 0.555190454580807 2 17 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.891602744600824
-2030 0.088042668452327 2 6 "GO:0001016;GO:0001031" "RNA polymerase III regulatory region DNA binding" 0.571309843089001
1433 0.228687912566252 2 6 "GO:0001025" "RNA polymerase III transcription factor binding" 0.714498478150115
-594 0.0530639933215956 2 91 "GO:0001046" "core promoter sequence-specific DNA binding" 0.501501245516259
-744 0.00333961780218883 2 134 "GO:0001047" "core promoter binding" 0.171482114103696
-2155 0.0505130971560837 4 7 "GO:0001055" "RNA polymerase II activity" 0.501501245516259
-314 0.73323115878086 4 10 "GO:0001056" "RNA polymerase III activity" 0.971191115310037
-1439 0.226635807110232 5 6 "GO:0001075" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity involved in preinitiation complex assembly" 0.71185342605634
-521 0.0648127451413032 2 108 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.535271692390763
-71 0.735467939695183 2 197 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.971191115310037
-113 0.698510444437986 2 101 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.96356807435975
-1061 0.000312309615085567 3 99 "GO:0001085" "RNA polymerase II transcription factor binding" 0.062862558831592
225 0.817245737995686 5 9 "GO:0001091;GO:0001094" "RNA polymerase II basal transcription factor binding" 0.977072465381025
-114 0.847987229219493 3 24 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.978349254003367
-693 0.166061389781415 2 34 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.671680210972453
-472 0.480802482363298 2 19 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.866912567436725
-455 0.209779468670765 2 65 "GO:0001104" "RNA polymerase II transcription cofactor activity" 0.703032862669031
-176 0.736621442816802 2 31 "GO:0001105" "RNA polymerase II transcription coactivator activity" 0.971191115310037
-135 0.831687943463952 2 21 "GO:0001106" "RNA polymerase II transcription corepressor activity" 0.977072465381025
-25 0.976121193453353 3 12 "GO:0001134" "transcription factor recruiting transcription factor activity" 0.990717958049904
1034 0.316001020123782 2 8 "GO:0001135" "RNA polymerase II transcription factor recruiting transcription factor activity" 0.767895483057997
-730 0.024653157549033 6 81 "GO:0001158;GO:0035326" "enhancer binding" 0.393451068451459
-157 0.857996087062469 7 11 "GO:0001161;GO:0044213" "intronic transcription regulatory region DNA binding" 0.978349254003367
281 0.78540659187205 2 8 "GO:0001162" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 0.973991298815257
-435 0.654120108603975 5 9 "GO:0001164;GO:0001163;GO:0001013" "RNA polymerase I regulatory region DNA binding" 0.946031945231551
-476 0.290413155367445 2 42 "GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 0.744852078449196
-546 0.2972762711884 4 31 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.747894623627134
197 0.746683944387929 2 23 "GO:0001205" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.971191115310037
-523 0.611815499392427 2 8 "GO:0001206" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.926351416387764
-1124 0.0453111645242836 2 27 "GO:0001221" "transcription cofactor binding" 0.495485975029435
-556 0.546431231449338 3 10 "GO:0001222" "transcription corepressor binding" 0.890117633574715
-2165 0.0188837937554454 5 10 "GO:0001223" "transcription coactivator binding" 0.37169600708635
-358 0.138333383880758 3 148 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.651781972735668
13 0.943522796120146 2 265 "GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.988745526649946
